index,filename,true_label,predicted_label,confidence,latency_sec,status_code,error
1,dog_9.jpg,dog,cat,0.7220513224601746,2.0348,200,
2,cat_1.jpg,cat,cat,0.5680809020996094,2.0482,200,
3,test_image_2.jpg,dog,cat,0.9988692402839661,2.0398,200,
4,test_image_3.jpg,dog,cat,0.9407084584236145,2.0385,200,
5,test_image_4.jpg,cat,cat,0.9993358254432678,2.0421,200,
6,test_image_5.jpg,dog,cat,0.9426141381263733,2.0434,200,
7,test_image_6.jpg,cat,cat,0.9968637228012085,2.0338,200,
8,test_image_7.jpg,cat,cat,0.997546374797821,2.0323,200,
9,test_image_8.jpg,dog,cat,0.9920706152915955,2.0306,200,
10,test_image_9.jpg,cat,cat,0.6747171878814697,2.0406,200,
11,test_image_10.jpg,dog,cat,0.977073073387146,2.021,200,
12,test_image_11.jpg,dog,cat,0.9999196529388428,2.0299,200,
13,test_image_12.jpg,cat,cat,0.9456855058670044,2.0443,200,
14,test_image_13.jpg,dog,cat,0.7359325885772705,2.0221,200,
15,test_image_14.jpg,dog,cat,0.9514387249946594,2.0241,200,
16,test_image_15.jpg,dog,cat,0.9084157347679138,2.0178,200,
17,test_image_16.jpg,cat,cat,0.9834012985229492,2.0261,200,
18,test_image_17.jpg,dog,cat,0.942304253578186,2.035,200,
19,test_image_18.jpg,dog,cat,0.9850813746452332,2.0191,200,
20,test_image_19.jpg,cat,cat,0.897573709487915,2.0375,200,
